Var1,mc_new
trap_scap_1,1
trap_scap_2,1
trap_scap_3,1
trap_scap_4,1
trap_scap_5,1
trap_scap_6,1
trap_scap_7,1
trap_scap_8,1
trap_scap_9,1
trap_scap10,1
trap_scap11,1
trap_clav_1,1
trap_clav_2,1
lev_scap_1,1
lev_scap_2,1
pect_min_1,1
pect_min_2,1
pect_min_3,1
pect_min_4,1
rhomboid_1,1
rhomboid_2,1
rhomboid_3,1
rhomboid_4,1
rhomboid_5,1
serr_ant_1,1
serr_ant_2,1
serr_ant_3,1
serr_ant_4,1
serr_ant_5,1
serr_ant_6,1
serr_ant_7,1
serr_ant_8,1
serr_ant_9,1
serr_ant10,1
serr_ant11,1
serr_ant12,1
delt_scap_1,1
delt_scap_2,1
delt_scap_3,1
delt_scap_4,1
delt_scap_5,1
delt_scap_6,1
delt_scap_7,1
delt_scap_8,1
delt_scap_9,1
delt_scap10,1
delt_scap11,1
delt_clav_1,1
delt_clav_2,1
delt_clav_3,1
delt_clav_4,1
coracobr_1,1
coracobr_2,1
coracobr_3,1
infra_1,1
infra_2,1
infra_3,1
infra_4,1
infra_5,1
infra_6,1
ter_min_1,1
ter_min_2,1
ter_min_3,1
ter_maj_1,1
ter_maj_2,1
ter_maj_3,1
ter_maj_4,1
supra_1,1
supra_2,1
supra_3,1
supra_4,1
subscap_1,1
subscap_2,1
subscap_3,1
subscap_4,1
subscap_5,1
subscap_6,1
subscap_7,1
subscap_8,1
subscap_9,1
subscap10,1
subscap11,1
bic_l,1
bic_b_1,1
tric_long_1,1
tric_long_2,1
tric_long_3,1
tric_long_4,1
lat_dorsi_1,1
lat_dorsi_2,1
lat_dorsi_3,1
lat_dorsi_4,1
lat_dorsi_5,1
lat_dorsi_6,1
pect_maj_t_1,1
pect_maj_t_2,1
pect_maj_t_3,1
pect_maj_t_4,1
pect_maj_t_5,1
pect_maj_t_6,1
pect_maj_c_1,1
pect_maj_c_2,1
tric_med_1,1
tric_med_2,1
tric_med_3,1
tric_med_4,1
tric_med_5,1
brachialis_1,1
brachialis_2,1
brachialis_3,1
brachialis_4,1
brachialis_5,1
brachialis_6,1
brachialis_7,1
brachiorad_1,1
brachiorad_2,1
brachiorad_3,1
pron_teres_1,1
pron_teres_2,1
supinator_1,1
supinator_2,1
supinator_3,1
supinator_4,1
supinator_5,1
pron_quad_1,1
pron_quad_2,1
pron_quad_3,1
tric_lat_1,1
tric_lat_2,1
tric_lat_3,1
tric_lat_4,1
tric_lat_5,1
anconeus_1,1
anconeus_2,1
anconeus_3,1
anconeus_4,1
anconeus_5,1
