,mc_new
brachialis_4,0.324200578
brachiorad_2,0.445407523
pron_teres_1,0.540411707
bic_l,0.285990355
bic_b_1,0.285990355
anconeus_2,0.187235794
tric_long_2,0.100303049
tric_med_4,0.100303049
tric_lat_3,0.100303049
delt_scap_3,0.631527613
delt_scap10,0.088470729
delt_clav_2,0.256795039
coracobr_2,0.689780984
lat_dorsi_2,0.130755041
lat_dorsi_4,0.126806234
infra_4,0.508631681
supra_3,0.666086303
pect_min_2,0.085892888
pect_maj_t_3,0.093324577
pect_maj_t_5,0.068381852
pect_maj_c_2,0.095972234
subscap_6,0.05151884
trap_scap_4,0.666086303
trap_scap10,0.666086303
trap_clav_1,0.666086303
lev_scap_1,0.666086303
rhomboid_3,0.666086303
serr_ant_2,0.338628741
serr_ant_5,0.338628741
serr_ant_8,0.338628741
ter_min_2,0.065118239
ter_maj_3,0.313679243
supinator_3,0.376400104
pron_teres_2,0.376400104
pron_quad_2,0.376400104
